image,predicted_labels
../data/cropped_persons\person_-1_000105_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, carryingMessengerBag, accessoryNothing, hairShort, lowerBodyTrousers, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_-1_000186_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, hairLong, upperBodyLongSleeve, lowerBodyTrousers, footwearBlack, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_-1_000683_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, accessoryNothing, footwearShoes, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack, upperBodyBlue"
../data/cropped_persons\person_-1_000945_1.jpg,"lowerBodyCasual, upperBodyCasual, personalFemale, accessoryNothing, footwearShoes, upperBodyShortSleeve, hairBlack, upperBodyBlue"
../data/cropped_persons\person_-1_001022_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, accessoryNothing, carryingNothing, footwearShoes, footwearWhite, hairBlack, upperBodyBlue"
../data/cropped_persons\person_-1_001562_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyLongSleeve, accessoryNothing, lowerBodyTrousers, hairBlack, upperBodyBlack"
../data/cropped_persons\person_-1_001748_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyLongSleeve, hairBlack"
../data/cropped_persons\person_-1_001833_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyLongSleeve, hairBlack, upperBodyBlue"
../data/cropped_persons\person_-1_002114_1.jpg,"lowerBodyCasual, upperBodyCasual, accessoryNothing, lowerBodyWhite"
../data/cropped_persons\person_-1_002560_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, carryingNothing, hairShort, lowerBodyShorts, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_-1_003357_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, hairShort, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_-1_003599_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, hairShort, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_-1_003876_1.jpg,"lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyBlack, upperBodyBlue"
../data/cropped_persons\person_-1_004041_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, footwearShoes, hairShort, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyBlack, upperBodyBlue"
../data/cropped_persons\person_-1_004470_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyBlack"
../data/cropped_persons\person_-1_004634_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, carryingNothing, hairShort, lowerBodyGrey"
../data/cropped_persons\person_-1_004721_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryNothing, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack, upperBodyBlack"
../data/cropped_persons\person_-1_004875_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_-1_005140_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, lowerBodyShorts, upperBodyShortSleeve, upperBodyTshirt, footwearBlack, hairBlack"
../data/cropped_persons\person_-1_005317_1.jpg,"personalLess30, lowerBodyCasual, personalFemale, accessoryNothing, carryingNothing, hairShort, upperBodyShortSleeve, hairBlack, lowerBodyGrey, upperBodyGrey"
../data/cropped_persons\person_-1_005416_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryNothing, carryingNothing, upperBodyTshirt, footwearWhite, hairBlack"
../data/cropped_persons\person_-1_005492_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, accessoryNothing, footwearShoes, hairShort, footwearBlack, hairBlack, upperBodyBlue"
../data/cropped_persons\person_-1_006414_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, accessoryNothing, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_-1_007080_1.jpg,"lowerBodyCasual, upperBodyCasual, personalFemale, carryingNothing, upperBodyShortSleeve, lowerBodyBlack, upperBodyBlue"
../data/cropped_persons\person_-1_007293_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyShortSleeve, lowerBodyTrousers, upperBodyTshirt, hairBlack, lowerBodyBlack, upperBodyBlue"
../data/cropped_persons\person_-1_007498_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairShort, upperBodyShortSleeve, hairBlack, lowerBodyBlack, upperBodyGrey"
../data/cropped_persons\person_-1_007723_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, accessoryNothing, hairShort, footwearWhite, hairBlack, upperBodyGrey"
../data/cropped_persons\person_-1_008007_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyShortSleeve, upperBodyTshirt, lowerBodyBlack, upperBodyBlue"
../data/cropped_persons\person_-1_009296_1.jpg,"lowerBodyCasual, upperBodyCasual, personalMale, hairShort, upperBodyShortSleeve, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_-1_009704_1.jpg,"lowerBodyCasual, upperBodyCasual, hairLong, upperBodyLongSleeve, accessoryNothing, carryingNothing, lowerBodyTrousers, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_-1_010474_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, carryingNothing, hairShort, lowerBodyShorts, upperBodyBlack"
../data/cropped_persons\person_-1_010749_1.jpg,"upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, carryingNothing, lowerBodyTrousers, upperBodyBlue"
../data/cropped_persons\person_-1_011000_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryNothing, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_-1_011185_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryNothing, lowerBodyShorts, upperBodyShortSleeve, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_-1_011825_1.jpg,"lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, carryingNothing, hairShort, footwearBlack, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_-1_012423_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, carryingNothing, footwearWhite, hairBlack, upperBodyBlue"
../data/cropped_persons\person_-1_012508_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, accessoryNothing, footwearShoes, lowerBodyTrousers, footwearGrey, hairBlack"
../data/cropped_persons\person_-1_012620_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, footwearShoes, lowerBodyTrousers, hairBlack, upperBodyBlue"
../data/cropped_persons\person_-1_012805_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, carryingNothing, hairShort, upperBodyShortSleeve, lowerBodyTrousers, footwearWhite, hairBlack"
../data/cropped_persons\person_-1_012886_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, upperBodyShortSleeve, footwearWhite, hairBlack, upperBodyWhite"
../data/cropped_persons\person_-1_013009_1.jpg,"upperBodyCasual, personalMale, accessoryNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, footwearBlack, hairBlack, lowerBodyBlack, upperBodyBlue"
../data/cropped_persons\person_-1_013174_1.jpg,"lowerBodyCasual, upperBodyCasual, lowerBodyJeans, personalMale, accessoryNothing, carryingNothing, hairShort, upperBodyTshirt, footwearBlack, hairBlack, upperBodyGreen"
../data/cropped_persons\person_-1_013394_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, lowerBodyJeans, upperBodyLongSleeve, accessoryNothing, hairShort, hairBlack, lowerBodyBlue, upperBodyRed"
../data/cropped_persons\person_-1_013527_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, hairLong, hairBlack, upperBodyBlack, upperBodyGrey"
../data/cropped_persons\person_-1_013975_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack, lowerBodyGrey"
../data/cropped_persons\person_-1_014120_1.jpg,"lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyLongSleeve, hairBlack, lowerBodyBlack"
../data/cropped_persons\person_-1_014201_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, accessoryNothing, hairShort, upperBodyShortSleeve, lowerBodyTrousers, footwearWhite, hairBlack, lowerBodyWhite"
../data/cropped_persons\person_-1_015158_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, footwearShoes, hairShort, upperBodyShortSleeve, lowerBodyTrousers, footwearBlack, hairBlack, lowerBodyGrey, upperBodyBlack"
../data/cropped_persons\person_-1_015792_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryNothing, lowerBodyShorts, upperBodyShortSleeve, footwearBlack, hairBlack, lowerBodyGrey"
../data/cropped_persons\person_-1_015970_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, lowerBodyJeans, accessoryNothing, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack"
../data/cropped_persons\person_-1_016137_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, lowerBodyJeans, upperBodyLongSleeve, footwearWhite, hairBlack, upperBodyWhite"
../data/cropped_persons\person_-1_016297_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, footwearBlack, hairBlack, upperBodyYellow"
../data/cropped_persons\person_-1_016377_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, footwearBlack, hairBlack"
../data/cropped_persons\person_-1_016593_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, accessoryNothing, footwearShoes, lowerBodyShorts, footwearBlack, hairBlack, lowerBodyGrey"
../data/cropped_persons\person_-1_017498_1.jpg,"lowerBodyCasual, upperBodyCasual, personalMale, carryingNothing, hairShort, lowerBodyShorts, upperBodyShortSleeve, upperBodyTshirt, lowerBodyGrey, upperBodyGrey"
../data/cropped_persons\person_100_012435_1.jpg,"carryingBackpack, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, hairShort, lowerBodyTrousers, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_101_012510_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, footwearShoes, lowerBodyTrousers, hairBlack, lowerBodyWhite"
../data/cropped_persons\person_103_012579_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, footwearWhite, hairBlack, upperBodyBlue"
../data/cropped_persons\person_103_012838_1.jpg,"lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, carryingNothing, hairShort, upperBodyShortSleeve, lowerBodyTrousers, footwearWhite, hairBlack"
../data/cropped_persons\person_104_012621_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, accessoryNothing, footwearShoes, hairBlack, lowerBodyWhite, upperBodyBlue"
../data/cropped_persons\person_105_012638_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyLongSleeve, accessoryNothing, footwearShoes, lowerBodyTrousers, hairBlack, lowerBodyWhite"
../data/cropped_persons\person_105_012850_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, upperBodyShortSleeve, lowerBodyTrousers, footwearWhite, hairBlack"
../data/cropped_persons\person_109_012826_1.jpg,"lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, carryingNothing, hairShort, lowerBodyTrousers, footwearWhite, hairBlack"
../data/cropped_persons\person_10_001006_1.jpg,"personalLess30, personalFemale, upperBodyLongSleeve, accessoryNothing, footwearShoes, hairBlack, upperBodyBlue"
../data/cropped_persons\person_110_012862_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, upperBodyShortSleeve, lowerBodyTrousers, footwearWhite, hairBlack"
../data/cropped_persons\person_111_012877_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, upperBodyShortSleeve, footwearWhite, hairBlack"
../data/cropped_persons\person_113_012949_1.jpg,"lowerBodyCasual, upperBodyCasual, accessoryNothing, hairShort, upperBodyShortSleeve, footwearBlack, hairBlack, lowerBodyGrey, upperBodyGrey"
../data/cropped_persons\person_113_013024_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, hairShort, upperBodyShortSleeve, footwearBlack, lowerBodyGrey, upperBodyBlue"
../data/cropped_persons\person_113_013099_1.jpg,"personalLess30, lowerBodyCasual, personalFemale, upperBodyShortSleeve, hairBlack, lowerBodyGrey, lowerBodyWhite, upperBodyGrey"
../data/cropped_persons\person_113_013183_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, accessoryNothing, footwearShoes, hairShort, upperBodyShortSleeve, footwearBlack, hairBlack, lowerBodyGrey, upperBodyGrey"
../data/cropped_persons\person_116_013015_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, carryingNothing, hairShort, upperBodyShortSleeve, hairBlack, lowerBodyBlack, upperBodyBlue"
../data/cropped_persons\person_116_013090_1.jpg,"personalLess30, upperBodyCasual, personalMale, accessoryNothing, carryingNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, footwearBlack, hairBlack, lowerBodyBlack, upperBodyBlue"
../data/cropped_persons\person_119_013127_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, hairShort, lowerBodyTrousers, footwearWhite, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_11_001029_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, footwearShoes, hairBlack, upperBodyBlue"
../data/cropped_persons\person_120_013175_1.jpg,"lowerBodyCasual, upperBodyCasual, lowerBodyJeans, personalMale, accessoryNothing, carryingNothing, hairShort, footwearBlack, hairBlack, upperBodyGreen"
../data/cropped_persons\person_121_013397_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, lowerBodyJeans, accessoryNothing, hairBlack, lowerBodyBlue, upperBodyRed"
../data/cropped_persons\person_121_013472_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyLongSleeve, accessoryNothing, lowerBodyBlue, upperBodyRed"
../data/cropped_persons\person_125_013535_1.jpg,"lowerBodyCasual, upperBodyCasual, personalFemale, lowerBodyTrousers, hairBlack, upperBodyBlack, upperBodyGrey"
../data/cropped_persons\person_126_013537_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, hairBlack"
../data/cropped_persons\person_126_013612_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, accessoryNothing, hairShort, lowerBodyTrousers, footwearBlack, hairBlack, lowerBodyGrey, upperBodyGrey"
../data/cropped_persons\person_126_013688_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, hairShort, footwearBlack, hairBlack, upperBodyBlack"
../data/cropped_persons\person_128_013613_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, hairLong, hairBlack, lowerBodyBlack, upperBodyGrey"
../data/cropped_persons\person_129_013633_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, hairLong, hairBlack, lowerBodyBlack, upperBodyGrey"
../data/cropped_persons\person_132_013719_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, lowerBodyTrousers, footwearBlack, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_133_013976_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, accessoryNothing, hairShort, upperBodyShortSleeve, footwearWhite, hairBlack"
../data/cropped_persons\person_134_014001_1.jpg,"lowerBodyCasual, upperBodyCasual, personalMale, carryingMessengerBag, accessoryNothing, hairShort, lowerBodyTrousers, footwearWhite, hairBlack, lowerBodyWhite, upperBodyWhite"
../data/cropped_persons\person_135_014121_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, hairShort, hairBlack"
../data/cropped_persons\person_136_014135_1.jpg,"lowerBodyCasual, upperBodyCasual, accessoryNothing, hairShort, upperBodyShortSleeve, hairBlack"
../data/cropped_persons\person_138_014202_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, accessoryNothing, hairShort, upperBodyShortSleeve, lowerBodyTrousers, footwearWhite, hairBlack, lowerBodyWhite"
../data/cropped_persons\person_139_014222_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, hairShort, upperBodyShortSleeve, lowerBodyTrousers, footwearWhite, hairBlack"
../data/cropped_persons\person_139_015025_1.jpg,"lowerBodyCasual, upperBodyCasual, lowerBodyJeans, personalMale, accessoryNothing, carryingNothing, footwearShoes, hairShort, upperBodyShortSleeve, upperBodyTshirt, footwearBlack, hairBlack"
../data/cropped_persons\person_139_015100_1.jpg,"lowerBodyCasual, upperBodyCasual, lowerBodyJeans, personalMale, accessoryNothing, carryingNothing, footwearShoes, hairShort, upperBodyShortSleeve, hairBlack, upperBodyWhite"
../data/cropped_persons\person_13_001574_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, lowerBodyTrousers, hairBlack"
../data/cropped_persons\person_141_015100_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, hairLong, upperBodyLongSleeve, footwearBlack, hairBlack, upperBodyWhite"
../data/cropped_persons\person_141_015175_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, hairLong, footwearBlack, hairBlack, upperBodyWhite"
../data/cropped_persons\person_142_015159_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, footwearBlack, hairBlack, lowerBodyGrey, upperBodyBlack"
../data/cropped_persons\person_147_015226_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, upperBodyShortSleeve, lowerBodyTrousers, upperBodyTshirt, footwearBlack, hairBlack, lowerBodyGrey, upperBodyBlue"
../data/cropped_persons\person_148_015227_1.jpg,"carryingOther, lowerBodyCasual, upperBodyCasual, accessoryNothing, hairShort, upperBodyShortSleeve, lowerBodyTrousers, footwearGrey, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_148_015302_1.jpg,"personalLess30, upperBodyLongSleeve, personalMale, accessoryNothing, hairShort, footwearBlack, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_148_015378_1.jpg,"personalLess30, lowerBodyCasual, personalMale, accessoryNothing, hairShort, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_149_015261_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, upperBodyShortSleeve, lowerBodyTrousers, upperBodyTshirt, hairBlack, lowerBodyGrey, upperBodyBlue"
../data/cropped_persons\person_151_015316_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, accessoryNothing, upperBodyShortSleeve, hairBlack, upperBodyWhite"
../data/cropped_persons\person_151_015397_1.jpg,"personalLess30, lowerBodyCasual, personalMale, accessoryNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, footwearBlack, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_154_015335_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, accessoryNothing, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_154_015410_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, accessoryNothing, footwearBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_154_015485_1.jpg,"lowerBodyCasual, upperBodyLongSleeve, accessoryNothing, carryingNothing, hairShort, footwearBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_154_015560_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, accessoryNothing, carryingNothing, hairShort, footwearBlack, hairBlack, lowerBodyBlack"
../data/cropped_persons\person_154_015635_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, carryingNothing, hairShort, lowerBodyShorts"
../data/cropped_persons\person_154_015710_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, accessoryNothing, carryingNothing, hairShort, upperBodyBlue"
../data/cropped_persons\person_155_015336_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, upperBodyShortSleeve, lowerBodyTrousers, upperBodyTshirt, hairBlack, lowerBodyGrey"
../data/cropped_persons\person_155_015413_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, footwearShoes, hairShort, upperBodyShortSleeve, lowerBodyTrousers, upperBodyTshirt, hairBlack, lowerBodyGrey, upperBodyBlue"
../data/cropped_persons\person_156_015538_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, lowerBodyJeans, hairLong, upperBodyLongSleeve, accessoryNothing, footwearWhite, hairBlack, lowerBodyBlue, upperBodyBlack"
../data/cropped_persons\person_156_015613_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, carryingNothing, hairShort, lowerBodyTrousers, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_159_015639_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, accessoryNothing, hairShort, footwearWhite, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_159_015714_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, accessoryNothing, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_162_015647_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, accessoryNothing, hairShort, lowerBodyShorts, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack"
../data/cropped_persons\person_162_015722_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, carryingNothing, lowerBodyShorts, upperBodyTshirt, footwearWhite, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_163_015793_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryNothing, lowerBodyShorts, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyGrey"
../data/cropped_persons\person_163_015868_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, lowerBodyShorts, hairBlack"
../data/cropped_persons\person_164_015806_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, upperBodyLongSleeve, lowerBodyShorts, footwearWhite, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_164_015881_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, hairLong, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_165_015856_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, lowerBodyJeans, upperBodyLongSleeve, personalMale, accessoryNothing, hairShort, hairBlack, lowerBodyGrey"
