image,predicted_labels
../data/cropped_persons\person_166_015881_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, lowerBodyJeans, personalMale, accessoryNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyBlue"
../data/cropped_persons\person_166_015956_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, lowerBodyJeans, personalMale, accessoryNothing, hairShort, hairBlack, lowerBodyBlue"
../data/cropped_persons\person_168_015896_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, lowerBodyJeans, hairLong, accessoryNothing, footwearWhite, hairBlack, lowerBodyBlue"
../data/cropped_persons\person_16_001611_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, accessoryNothing, hairBlack, upperBodyBlack"
../data/cropped_persons\person_170_015959_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, lowerBodyJeans, accessoryNothing, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack"
../data/cropped_persons\person_171_015971_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, lowerBodyJeans, accessoryNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack, lowerBodyGrey"
../data/cropped_persons\person_172_015986_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, lowerBodyJeans, hairLong, accessoryNothing, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack"
../data/cropped_persons\person_173_016026_1.jpg,"lowerBodyCasual, upperBodyCasual, lowerBodyJeans, personalMale, accessoryNothing, carryingNothing, hairShort, footwearGrey, hairBlack, lowerBodyBlue"
../data/cropped_persons\person_173_016101_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, lowerBodyJeans, upperBodyLongSleeve, personalMale, accessoryNothing, footwearShoes, hairShort, hairBlack, lowerBodyBlue"
../data/cropped_persons\person_174_016138_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, lowerBodyJeans, hairLong, upperBodyLongSleeve, footwearWhite, hairBlack, upperBodyWhite"
../data/cropped_persons\person_174_016214_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, lowerBodyJeans, upperBodyLongSleeve, hairBlack, upperBodyWhite"
../data/cropped_persons\person_174_016289_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, lowerBodyJeans, hairLong, footwearWhite, hairBlack, lowerBodyBlue"
../data/cropped_persons\person_176_016298_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, footwearBlack, hairBlack, upperBodyYellow"
../data/cropped_persons\person_17_001611_1.jpg,"upperBodyLongSleeve, personalMale, accessoryNothing, hairShort, lowerBodyTrousers, upperBodyWhite"
../data/cropped_persons\person_180_016384_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, accessoryNothing, lowerBodyShorts, footwearBlack, hairBlack"
../data/cropped_persons\person_183_016391_1.jpg,"lowerBodyCasual, upperBodyCasual, hairShort, upperBodyShortSleeve, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_184_016735_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, accessoryNothing, lowerBodyShorts, footwearBlack, hairBlack"
../data/cropped_persons\person_185_017502_1.jpg,"lowerBodyCasual, upperBodyCasual, personalMale, carryingNothing, footwearShoes, hairShort, lowerBodyGrey, upperBodyGrey"
../data/cropped_persons\person_185_017577_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, upperBodyShortSleeve, footwearWhite, hairBlack, lowerBodyGrey, upperBodyGrey"
../data/cropped_persons\person_185_017652_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, hairBlack, lowerBodyWhite, upperBodyGreen"
../data/cropped_persons\person_185_017727_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, footwearShoes, hairShort, footwearGrey, hairBlack, lowerBodyWhite"
../data/cropped_persons\person_185_017803_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, accessoryNothing, carryingNothing, lowerBodyTrousers, lowerBodyWhite"
../data/cropped_persons\person_186_017517_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, accessoryNothing, carryingNothing, lowerBodyTrousers, footwearWhite, hairBlack, lowerBodyWhite, upperBodyGrey"
../data/cropped_persons\person_187_017526_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLogo, personalMale, hairShort, lowerBodyShorts, upperBodyShortSleeve, upperBodyTshirt, upperBodyBlack"
../data/cropped_persons\person_187_017601_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLogo, lowerBodyShorts, upperBodyTshirt, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_187_017676_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, lowerBodyShorts, upperBodyShortSleeve, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_187_017751_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_187_017828_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, lowerBodyShorts, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_18_001749_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, lowerBodyTrousers, hairBlack"
../data/cropped_persons\person_190_017549_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, carryingNothing, lowerBodyTrousers, hairBlack, lowerBodyWhite, upperBodyGrey"
../data/cropped_persons\person_192_017563_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, upperBodyShortSleeve, upperBodyTshirt, hairBlack"
../data/cropped_persons\person_192_017638_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, upperBodyShortSleeve, upperBodyTshirt, footwearBlack, hairBlack, upperBodyPink"
../data/cropped_persons\person_192_017713_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, carryingNothing, upperBodyShortSleeve, upperBodyTshirt, hairBlack, upperBodyPink"
../data/cropped_persons\person_192_017788_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, upperBodyShortSleeve, hairBlack, upperBodyPink"
../data/cropped_persons\person_197_017581_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, lowerBodyJeans, accessoryNothing, carryingNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, hairBlack, upperBodyWhite"
../data/cropped_persons\person_19_001760_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, hairLong, upperBodyLongSleeve, lowerBodyTrousers, hairBlack"
../data/cropped_persons\person_1_000000_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, hairLong, upperBodyLongSleeve, lowerBodyTrousers, footwearWhite, hairBlack, lowerBodyBlack, upperBodyBlue"
../data/cropped_persons\person_201_017605_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyGrey, upperBodyWhite"
../data/cropped_persons\person_203_017610_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, carryingNothing, upperBodyShortSleeve, lowerBodyTrousers, hairBlack, lowerBodyWhite, upperBodyBlack"
../data/cropped_persons\person_205_017727_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryNothing, lowerBodyShorts, upperBodyTshirt, footwearBlack"
../data/cropped_persons\person_206_017734_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, accessoryNothing, hairShort, upperBodyShortSleeve, hairBlack, lowerBodyGrey, upperBodyWhite"
../data/cropped_persons\person_206_017812_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, footwearBlack, hairBlack, lowerBodyGrey, upperBodyWhite"
../data/cropped_persons\person_20_001774_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyLongSleeve, hairBlack"
../data/cropped_persons\person_21_001823_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyLongSleeve, lowerBodyTrousers, hairBlack"
../data/cropped_persons\person_22_001835_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyLongSleeve, footwearWhite, hairBlack"
../data/cropped_persons\person_23_002115_1.jpg,"lowerBodyCasual, upperBodyCasual, accessoryNothing, lowerBodyWhite"
../data/cropped_persons\person_23_002190_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, accessoryNothing, lowerBodyShorts, lowerBodyWhite"
../data/cropped_persons\person_23_002265_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, accessoryNothing, lowerBodyWhite"
../data/cropped_persons\person_23_002340_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, lowerBodyShorts, lowerBodyWhite, upperBodyBlack"
../data/cropped_persons\person_24_002177_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, carryingNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, upperBodyBlue"
../data/cropped_persons\person_24_002252_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, carryingNothing, hairShort, lowerBodyShorts, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack"
../data/cropped_persons\person_24_002327_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, lowerBodyShorts, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack, lowerBodyGrey, upperBodyBlue"
../data/cropped_persons\person_24_002402_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, carryingNothing, hairShort, lowerBodyShorts, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack, upperBodyBlue"
../data/cropped_persons\person_24_002480_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, carryingNothing, lowerBodyShorts, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack, lowerBodyGrey"
../data/cropped_persons\person_26_003358_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, hairShort, lowerBodyTrousers, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_26_003433_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, upperBodyLongSleeve, hairShort, lowerBodyTrousers, footwearBrown, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_2_000106_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, hairShort, lowerBodyTrousers, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_32_003395_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, hairBlack, lowerBodyBlack"
../data/cropped_persons\person_33_003414_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, hairBlack, lowerBodyBlack, upperBodyPink"
../data/cropped_persons\person_35_003607_1.jpg,"lowerBodyCasual, upperBodyCasual, personalMale, hairShort, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_35_003682_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, hairLong, upperBodyLongSleeve, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_35_003758_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, hairShort, lowerBodyTrousers, hairBlack, lowerBodyBlack"
../data/cropped_persons\person_36_003877_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyShortSleeve, lowerBodyTrousers, upperBodyTshirt, hairBlack, lowerBodyBlack, upperBodyBlue"
../data/cropped_persons\person_36_003955_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, carryingNothing, footwearShoes, hairShort, upperBodyShortSleeve, lowerBodyTrousers, upperBodyTshirt, hairBlack, lowerBodyBlack, upperBodyBlue"
../data/cropped_persons\person_37_004042_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, upperBodyShortSleeve, lowerBodyTrousers, upperBodyTshirt, footwearWhite, hairBlack, lowerBodyBlack, upperBodyBlue"
../data/cropped_persons\person_38_004081_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, hairBlack, upperBodyBlue"
../data/cropped_persons\person_39_004471_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, upperBodyShortSleeve, upperBodyTshirt, hairBlack"
../data/cropped_persons\person_40_004503_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_41_004530_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_43_004635_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve"
../data/cropped_persons\person_49_004680_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, upperBodyShortSleeve, upperBodyTshirt, hairBlack, upperBodyBlack"
../data/cropped_persons\person_51_004753_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack, upperBodyBlack"
../data/cropped_persons\person_54_005144_1.jpg,"personalLess30, lowerBodyCasual, accessoryNothing, carryingNothing, hairShort, upperBodyShortSleeve, footwearBlack, hairBlack"
../data/cropped_persons\person_56_005163_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, upperBodyShortSleeve, hairBlack"
../data/cropped_persons\person_58_005337_1.jpg,"personalLess30, lowerBodyCasual, personalFemale, accessoryNothing, hairShort, upperBodyTshirt, hairBlack"
../data/cropped_persons\person_59_005417_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryNothing, carryingNothing, footwearWhite"
../data/cropped_persons\person_5_000197_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, hairLong, upperBodyLongSleeve, lowerBodyTrousers, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_60_005495_1.jpg,"personalLess30, lowerBodyCasual, accessoryNothing, carryingNothing, footwearShoes, hairShort, hairBlack, upperBodyBlue"
../data/cropped_persons\person_62_007081_1.jpg,"lowerBodyCasual, upperBodyCasual, accessoryNothing, carryingNothing, upperBodyShortSleeve, lowerBodyTrousers, hairBlack, lowerBodyBlack, upperBodyBlue"
../data/cropped_persons\person_62_007156_1.jpg,"lowerBodyCasual, upperBodyCasual, accessoryNothing, carryingNothing, hairShort, upperBodyShortSleeve, lowerBodyTrousers, upperBodyTshirt, lowerBodyBlack, upperBodyBlue"
../data/cropped_persons\person_62_007231_1.jpg,"lowerBodyCasual, upperBodyCasual, personalFemale, accessoryNothing, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyBlack, upperBodyBlue"
../data/cropped_persons\person_63_007294_1.jpg,"carryingBackpack, lowerBodyCasual, upperBodyCasual, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyBlack, upperBodyBlue"
../data/cropped_persons\person_64_007499_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyShortSleeve, hairBlack, lowerBodyBlack"
../data/cropped_persons\person_66_007527_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, hairShort, lowerBodyTrousers, hairBlack, lowerBodyBlack"
../data/cropped_persons\person_66_007603_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryNothing, carryingNothing, hairShort, hairBlack, lowerBodyBlack, upperBodyGrey"
../data/cropped_persons\person_67_007546_1.jpg,"lowerBodyCasual, upperBodyCasual, lowerBodyJeans, personalMale, accessoryNothing, carryingNothing, hairShort, footwearWhite, upperBodyWhite"
../data/cropped_persons\person_68_007724_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, carryingNothing, hairShort, hairBlack, upperBodyGrey"
../data/cropped_persons\person_68_007799_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, carryingNothing, hairShort, footwearWhite, hairBlack, upperBodyGrey"
../data/cropped_persons\person_69_008008_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyShortSleeve, lowerBodyBlack, upperBodyBlue"
../data/cropped_persons\person_6_000212_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, hairLong, lowerBodyTrousers, footwearWhite, hairBlack, lowerBodyBlack, upperBodyWhite"
../data/cropped_persons\person_72_008039_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, hairLong, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyBlack"
../data/cropped_persons\person_73_008043_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, upperBodyShortSleeve, upperBodyTshirt, footwearBlack, hairBlack, lowerBodyBlack, upperBodyYellow"
../data/cropped_persons\person_74_009298_1.jpg,"lowerBodyCasual, upperBodyCasual, lowerBodyJeans, personalMale, hairShort, upperBodyShortSleeve, hairBlack, upperBodyWhite"
../data/cropped_persons\person_74_009717_1.jpg,"lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, lowerBodyBlack"
../data/cropped_persons\person_77_009707_1.jpg,"lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, accessoryNothing, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_78_010475_1.jpg,"lowerBodyCasual, upperBodyCasual, personalMale, carryingNothing, hairShort, lowerBodyShorts, upperBodyBlack"
../data/cropped_persons\person_78_010553_1.jpg,"carryingBackpack, lowerBodyCasual, upperBodyCasual, personalMale, hairShort, footwearBlack, upperBodyBlue"
../data/cropped_persons\person_78_010628_1.jpg,"carryingBackpack, lowerBodyCasual, upperBodyCasual, personalMale, hairShort, footwearBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_7_000684_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, accessoryNothing, footwearWhite, hairBlack, upperBodyBlue"
../data/cropped_persons\person_7_000762_1.jpg,"lowerBodyCasual, upperBodyCasual, accessoryNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack, upperBodyBlue"
../data/cropped_persons\person_7_000839_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyShortSleeve, upperBodyTshirt, hairBlack, upperBodyBlue"
../data/cropped_persons\person_7_000914_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, accessoryNothing, footwearShoes, hairShort, lowerBodyTrousers, hairBlack, upperBodyBlue"
../data/cropped_persons\person_81_010755_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, lowerBodyBlack"
../data/cropped_persons\person_83_010785_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLogo, upperBodyLongSleeve, personalMale, hairShort, footwearBlack, hairBlack, upperBodyBlack"
../data/cropped_persons\person_83_010860_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryNothing, footwearBlack, hairBlack, upperBodyBlack"
../data/cropped_persons\person_83_010960_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, accessoryNothing, hairShort, lowerBodyShorts, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_83_011043_1.jpg,"carryingBackpack, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, hairShort, footwearBlack, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_85_011003_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, footwearWhite, hairBlack, upperBodyBlack"
../data/cropped_persons\person_86_011014_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryNothing, footwearWhite, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_86_011089_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, accessoryHairBand, hairLong, upperBodyLongSleeve, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_8_000946_1.jpg,"personalLess30, lowerBodyCasual, personalFemale, accessoryNothing, hairBlack, upperBodyBlue"
../data/cropped_persons\person_91_011197_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, hairShort, lowerBodyShorts, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_91_011274_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_93_011279_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, accessoryNothing, carryingNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, footwearWhite, hairBlack"
../data/cropped_persons\person_95_011826_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, carryingNothing, hairShort, footwearBlack, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_95_011901_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, carryingNothing, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_95_011976_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, lowerBodyTrousers, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/cropped_persons\person_97_011964_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, accessoryNothing, hairShort, lowerBodyTrousers, lowerBodyBlack, upperBodyRed"
../data/cropped_persons\person_97_012039_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, footwearShoes, hairShort, lowerBodyTrousers, hairBlack, upperBodyRed"
../data/cropped_persons\person_97_012114_1.jpg,"carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyLongSleeve, hairShort, lowerBodyTrousers, hairBlack, lowerBodyBlack"
../data/cropped_persons\person_97_012191_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, hairShort, lowerBodyShorts, hairBlack, lowerBodyBlack"
../data/cropped_persons\person_98_011996_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, hairShort, upperBodyOther, footwearBlack, lowerBodyBlack"
../data/cropped_persons\person_98_012071_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, accessoryNothing, footwearSandals, hairShort, lowerBodyShorts, footwearBlack, hairBlack, lowerBodyWhite, upperBodyBlack"
../data/cropped_persons\person_98_012146_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, accessoryNothing, hairShort, hairBlack, lowerBodyBlack"
../data/cropped_persons\person_99_012425_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, carryingNothing, footwearShoes, hairBlack, upperBodyBlue"
../data/cropped_persons\person_9_000974_1.jpg,"personalLess30, lowerBodyCasual, personalFemale, upperBodyLongSleeve, accessoryNothing, footwearShoes, hairBlack, upperBodyBlue"
